each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0(0.5):B220,000.00,[100.00,160.00,100.00]	5(0.5):A100,000.00,[100.00,100.00,100.00]	10(0.5):C180,000.00,[100.00,100.00,140.00]	15(0.5):B000,000.00,[100.00,050.00,100.00]	20(0.5):C000,000.00,[100.00,100.00,050.00]	25(0.5):B000,000.00,[100.00,050.00,100.00]	30(0.5):A100,000.00,[100.00,100.00,100.00]	35(0.5):B220,000.00,[100.00,160.00,100.00]	40(0.5):B000,000.00,[100.00,050.00,100.00]	45(0.5):B220,000.00,[100.00,160.00,100.00]	
0(0.5):A100,000.00,[100.00,101.27,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B220,000.00,[100.00,207.81,040.47]	35(0.5):C000,000.00,[100.00,054.00,039.36]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,032.79]	
0(0.5):B000,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B000,000.00,[100.00,103.91,040.47]	35(0.5):A100,000.00,[100.00,054.00,039.36]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,103.91,040.47]	35(0.5):A100,000.00,[100.00,054.00,039.36]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B220,000.00,[100.00,161.95,040.47]	35(0.5):A100,000.00,[100.00,054.00,039.36]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B000,000.00,[100.00,080.98,040.47]	35(0.5):A100,000.00,[100.00,054.00,039.36]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):B000,000.00,[100.00,024.81,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B220,000.00,[100.00,150.49,040.47]	35(0.5):C180,000.00,[100.00,054.00,109.68]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,024.81,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B000,000.00,[100.00,075.24,040.47]	35(0.5):C180,000.00,[100.00,054.00,144.84]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):B000,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,075.24,040.47]	35(0.5):C180,000.00,[100.00,054.00,162.42]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B000,000.00,[100.00,037.62,040.47]	35(0.5):C180,000.00,[100.00,054.00,171.21]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):C000,000.00,[100.00,012.50,012.50]	30(0.5):C180,000.00,[100.00,037.62,110.23]	35(0.5):C180,000.00,[100.00,054.00,175.61]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,110.23]	35(0.5):C000,000.00,[100.00,054.00,087.80]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,110.23]	35(0.5):A100,000.00,[100.00,054.00,087.80]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,110.23]	35(0.5):A100,000.00,[100.00,054.00,087.80]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):C000,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):C000,000.00,[100.00,037.62,055.12]	35(0.5):C000,000.00,[100.00,054.00,043.90]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,054.00,043.90]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):B000,000.00,[100.00,027.00,043.90]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,027.00,043.90]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C180,000.00,[100.00,027.00,111.95]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C180,000.00,[100.00,027.00,145.98]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):C000,000.00,[100.00,050.63,012.50]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C180,000.00,[100.00,027.00,162.99]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):C000,000.00,[100.00,050.63,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C180,000.00,[100.00,027.00,171.49]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,027.00,171.49]	40(0.5):B220,000.00,[100.00,129.69,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C180,000.00,[100.00,027.00,175.75]	40(0.5):B220,000.00,[100.00,174.85,025.00]	45(0.5):A100,000.00,[100.00,012.40,032.79]	
0(0.5):A100,000.00,[100.00,050.63,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):B000,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C000,000.00,[100.00,027.00,087.87]	40(0.5):B000,000.00,[100.00,087.42,025.00]	45(0.5):B000,000.00,[100.00,006.20,032.79]	
0(0.5):A100,000.00,[100.00,050.63,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):C000,000.00,[100.00,027.00,043.94]	40(0.5):A100,000.00,[100.00,087.42,025.00]	45(0.5):A100,000.00,[100.00,006.20,032.79]	
0(0.5):B220,000.00,[100.00,135.32,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,027.00,043.94]	40(0.5):B220,000.00,[100.00,153.71,025.00]	45(0.5):A100,000.00,[100.00,006.20,032.79]	
0(0.5):A100,000.00,[100.00,135.32,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,027.00,043.94]	40(0.5):B000,000.00,[100.00,076.86,025.00]	45(0.5):A100,000.00,[100.00,006.20,032.79]	
0(0.5):B220,000.00,[100.00,177.66,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,027.00,043.94]	40(0.5):A100,000.00,[100.00,076.86,025.00]	45(0.5):C000,000.00,[100.00,006.20,016.40]	
0(0.5):B220,000.00,[100.00,198.83,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,037.62,055.12]	35(0.5):A100,000.00,[100.00,027.00,043.94]	40(0.5):A100,000.00,[100.00,076.86,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):B220,000.00,[100.00,209.41,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):B000,000.00,[100.00,018.81,055.12]	35(0.5):A100,000.00,[100.00,027.00,043.94]	40(0.5):A100,000.00,[100.00,076.86,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):B000,000.00,[100.00,104.71,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,018.81,055.12]	35(0.5):C000,000.00,[100.00,027.00,021.97]	40(0.5):B000,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):B000,000.00,[100.00,052.35,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):C180,000.00,[100.00,018.81,117.56]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):A100,000.00,[100.00,052.35,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):C180,000.00,[100.00,018.81,148.78]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):A100,000.00,[100.00,052.35,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):C000,000.00,[100.00,018.81,074.39]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):A100,000.00,[100.00,052.35,006.25]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,018.81,074.39]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):C180,000.00,[100.00,052.35,093.13]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):C180,000.00,[100.00,025.00,098.75]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,012.50]	30(0.5):A100,000.00,[100.00,018.81,074.39]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,016.40]	
0(0.5):C000,000.00,[100.00,052.35,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,098.75]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):B220,000.00,[100.00,116.25,012.50]	30(0.5):A100,000.00,[100.00,018.81,074.39]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):C000,000.00,[100.00,006.20,008.20]	
0(0.5):A100,000.00,[100.00,052.35,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,098.75]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):B000,000.00,[100.00,058.13,012.50]	30(0.5):C180,000.00,[100.00,018.81,127.19]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,008.20]	
0(0.5):A100,000.00,[100.00,052.35,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):C000,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):B000,000.00,[100.00,029.06,012.50]	30(0.5):C180,000.00,[100.00,018.81,153.60]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,008.20]	
0(0.5):B000,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):C000,000.00,[100.00,018.81,076.80]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,008.20]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,006.25,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,076.80]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):C000,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):B000,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,076.80]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,076.80]	35(0.5):A100,000.00,[100.00,027.00,021.97]	40(0.5):A100,000.00,[100.00,038.43,025.00]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,076.80]	35(0.5):B000,000.00,[100.00,013.50,021.97]	40(0.5):C000,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):C180,000.00,[100.00,018.81,128.40]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,128.40]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,049.38]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):C000,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):C000,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
